description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Today's session consists of moderate duration cruise intervals. Cruise intervals are performed within Zone 4.However we are changing the target power throughout the effort. Some intervals increase, while others decrease in target power. Focus on controlled breathing and pedaling at a cadence similar to your time trial cadence.",1,180,45,60,%,,,,,,
,1,60,60,60,%,,,,,,
,1,60,65,65,%,,,,,,
,1,60,81,81,%,,,,,,
,1,60,109,109,%,,,,,,
,1,120,50,50,%,,,,,,
,1,240,90,90,%,,,,,,
,1,180,50,50,%,,,,,,
,1,480,91,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,480,105,91,%,,,,,,
,1,120,50,50,%,,,,,,
,1,480,91,105,%,,,,,,
,1,120,50,50,%,,,,,,
,1,480,105,91,%,,,,,,
,1,300,75,45,%,,,,,,
