description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"For the first of our 3, 30min workouts of the plan, we'll spend time riding under and over your FTP. This 30-minute workout requires hard work at nearly every phase, but you are strong and can get it done! Doing these kinds of workouts builds up your strength and ability to bounce back after hard efforts. You'll also feel mentally stronger and more resilient.",1,300,50,75,%,85,,,,,
,1,30,85,85,%,95,30,50,50,%,85
,1,30,105,105,%,105,30,50,50,%,85
,1,30,115,115,%,115,30,50,50,%,85
,1,120,50,50,%,85,,,,,
,1,180,85,85,%,85,,,,,
,1,60,105,105,%,100,,,,,
,1,30,115,115,%,110,,,,,
,1,180,85,85,%,85,,,,,
,1,60,105,105,%,100,,,,,
,1,30,115,115,%,110,,,,,
,1,180,85,85,%,85,,,,,
,1,60,105,105,%,100,,,,,
,1,30,115,115,%,110,,,,,
,1,180,85,85,%,85,,,,,
,1,60,105,105,%,100,,,,,
,1,30,150,150,%,110,,,,,
,1,120,50,50,%,85,,,,,
