description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Steady endurance work trains your body to utilize oxygen to metabolise fat as its fuel source.By incorporating sprint efforts into a steady state effort, you will recruit additional muscle fibers and extend their ability to work aerobically.The sprint efforts increase in duration from 15sec to 20sec and 30sec.",1,180,50,50,%,,,,,,
,1,60,60,60,%,85,,,,,
,1,60,65,65,%,90,,,,,
,1,60,81,81,%,95,,,,,
,1,60,109,109,%,95,,,,,
,1,120,50,50,%,,,,,,
,1,240,90,90,%,95,,,,,
,1,180,50,50,%,,,,,,
,1,240,84,84,%,90,,,,,
,1,15,175,175,%,110,,,,,
,1,240,84,84,%,90,,,,,
,1,20,170,170,%,110,,,,,
,1,240,84,84,%,90,,,,,
,1,30,150,150,%,105,,,,,
,1,300,50,50,%,,,,,,
,1,240,84,84,%,90,,,,,
,1,15,175,175,%,110,,,,,
,1,240,84,84,%,90,,,,,
,1,20,170,170,%,110,,,,,
,1,240,84,84,%,90,,,,,
,1,30,150,150,%,105,,,,,
,1,300,50,50,%,,,,,,
