description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"You can do anything for 20min, right!? Good! Because this 20min high-intensity workout will torch your daily calories. The session is 3 rounds of 60, 45, 30, and 15sec efforts. Each round will get a little more intense - so get ready to bring your best effort in the final round!",1,180,65,80,%,,,,,,
,1,30,70,70,%,,,,,,
,1,60,82,82,%,,,,,,
,1,20,70,70,%,,,,,,
,1,45,86,86,%,,,,,,
,1,20,70,70,%,,,,,,
,1,30,90,90,%,,,,,,
,1,20,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,90,72,72,%,,,,,,
,1,60,84,84,%,,,,,,
,1,20,70,70,%,,,,,,
,1,45,88,88,%,,,,,,
,1,20,70,70,%,,,,,,
,1,30,92,92,%,,,,,,
,1,20,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,90,72,72,%,,,,,,
,1,60,86,86,%,,,,,,
,1,20,70,70,%,,,,,,
,1,45,90,90,%,,,,,,
,1,20,70,70,%,,,,,,
,1,30,94,94,%,,,,,,
,1,20,70,70,%,,,,,,
,1,15,115,115,%,,,,,,
,1,180,70,65,%,,,,,,
