description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"28 minute high intensity workout to get in your daily burn. This session is 6 rounds of 40, 20, 10 seconds down the ladder , 10 seconds recovery at the bottom, then 10, 20, 40 seconds back up the ladder. The efforts increase as the durations get shorter.",1,240,60,70,%,95,,,,,
,1,40,75,75,%,,,,,,
,1,20,85,85,%,,,,,,
,1,10,100,100,%,,,,,,
,1,10,65,65,%,,,,,,
,1,10,100,100,%,,,,,,
,1,20,85,85,%,,,,,,
,1,40,75,75,%,,,,,,
,1,60,65,65,%,80,,,,,
,1,40,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,105,105,%,,,,,,
,1,10,65,65,%,,,,,,
,1,10,105,105,%,,,,,,
,1,20,90,90,%,,,,,,
,1,40,80,80,%,,,,,,
,1,60,65,65,%,80,,,,,
,1,40,85,85,%,,,,,,
,1,20,95,95,%,,,,,,
,1,10,110,110,%,,,,,,
,1,10,65,65,%,,,,,,
,1,10,110,110,%,,,,,,
,1,20,95,95,%,,,,,,
,1,40,85,85,%,,,,,,
,1,60,65,65,%,80,,,,,
,1,40,75,75,%,,,,,,
,1,20,85,85,%,,,,,,
,1,10,100,100,%,,,,,,
,1,10,65,65,%,,,,,,
,1,10,100,100,%,,,,,,
,1,20,85,85,%,,,,,,
,1,40,75,75,%,,,,,,
,1,60,65,65,%,80,,,,,
,1,40,80,80,%,,,,,,
,1,20,90,90,%,,,,,,
,1,10,105,105,%,,,,,,
,1,10,65,65,%,,,,,,
,1,10,105,105,%,,,,,,
,1,20,90,90,%,,,,,,
,1,40,80,80,%,,,,,,
,1,60,65,65,%,80,,,,,
,1,40,85,85,%,,,,,,
,1,20,95,95,%,,,,,,
,1,10,110,110,%,,,,,,
,1,10,65,65,%,,,,,,
,1,10,110,110,%,,,,,,
,1,20,95,95,%,,,,,,
,1,40,85,85,%,,,,,,
,1,180,75,65,%,90,,,,,
