description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
SUB-THRESHOLD #3-----WU:10 Min increasing power through Power Zone 1 and 2. Include 3 x 6 Sec high cadence / low power sprints during warm up period.-----MS1:5 x 1 Min High Cadence / Low Power Intervals.TARGET: Power Zone 4CADENCE: 110+ RECOVERY: 1 Min-----MS2:2 x 20 Min Sub-Threshold IntervalsTARGET: Power Zone lower Z4CADENCE: 85-95rpm.RECOVERY: 5 Min,1,600,51,75,%,,,,,,
,1,60,50,50,%,,,,,,
,1,60,91,91,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,92,92,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,91,91,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,91,91,%,,,,,,
,1,60,55,55,%,,,,,,
,1,60,91,91,%,,,,,,
,1,60,55,55,%,,,,,,
,1,1200,89,89,%,,,,,,
,1,300,55,55,%,,,,,,
,1,1200,89,89,%,,,,,,
,1,300,55,55,%,,,,,,
,1,300,75,50,%,,,,,,
