description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The Spaded Sweetie starts off with a 15 minute warm up to prime the engines and ready the mind.  Then, we move into a spade interval set starting off very hard, but short, and gradually reducing the intensity while upping the time... Only to go back up again!  From there, we will move into a progressive over/under sweet spot interval featuring changes in cadence and intensity that culminates in a 1min FULL GAS effort! This is a tough workout, but feautures a lot of quality time at VO2 and threshold.",1,600,25,75,%,,,,,,
,1,30,95,95,%,95,,,,,
,1,30,50,50,%,85,,,,,
,1,30,105,105,%,105,,,,,
,1,30,50,50,%,85,,,,,
,1,30,115,115,%,115,,,,,
,1,150,50,50,%,85,,,,,
,1,15,150,150,%,110,,,,,
,1,30,50,50,%,85,,,,,
,1,30,135,135,%,110,,,,,
,1,60,50,50,%,85,,,,,
,1,60,120,120,%,110,,,,,
,1,60,50,50,%,85,,,,,
,1,30,135,135,%,110,,,,,
,1,60,50,50,%,85,,,,,
,1,15,150,150,%,110,,,,,
,1,120,50,50,%,85,,,,,
,1,30,65,88,%,,,,,,
,1,240,88,88,%,95,,,,,
,1,60,105,105,%,105,,,,,
,1,15,65,65,%,85,,,,,
,1,30,65,92,%,,,,,,
,1,240,92,92,%,95,,,,,
,1,60,105,105,%,105,,,,,
,1,30,65,65,%,85,,,,,
,1,30,65,96,%,,,,,,
,1,240,96,96,%,95,,,,,
,1,60,106,106,%,105,,,,,
,1,60,65,65,%,85,,,,,
,1,30,65,100,%,,,,,,
,1,240,100,100,%,95,,,,,
,1,60,105,105,%,105,,,,,
,1,120,65,65,%,85,,,,,
,1,30,65,104,%,,,,,,
,1,240,104,104,%,95,,,,,
,1,60,104,120,%,58,,,,,
,1,345,75,25,%,,,,,,
