description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"This is a low intensity endurance session that focuses on your ability to judge your pacing.By completing some steady state intervals under threshold power, you will develop the ability to gauge your effort based on ""feel"" without having to look at the data for feedback. This session also serves the purpose of effectively building endurance.",1,420,50,75,%,,,,,,
,1,60,50,50,%,,,,,,
,5,60,90,90,%,,60,70,70,%,
,1,60,50,50,%,,,,,,
,1,180,88,88,%,,,,,,
,1,60,50,50,%,,,,,,
,1,300,75,75,%,,300,88,88,%,
,1,300,75,75,%,,300,88,88,%,
,1,300,75,75,%,,300,88,88,%,
,1,300,50,50,%,,,,,,
