description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Paul Mack,1,180,60,60,%,,,,,,
,1,30,95,95,%,,,,,,
,1,55,45,45,%,,,,,,
,1,180,60,60,%,,,,,,
,1,30,95,95,%,,,,,,
,1,55,45,45,%,,,,,,
,1,180,60,60,%,,,,,,
,1,30,95,95,%,,,,,,
,1,55,45,45,%,,,,,,
,1,180,60,60,%,,,,,,
,1,30,95,95,%,,,,,,
,1,55,45,45,%,,,,,,
,1,180,60,60,%,,,,,,
,1,30,95,95,%,,,,,,
,1,55,45,45,%,,,,,,
,20,15,120,120,%,,15,55,55,%,
,1,180,55,55,%,,,,,,
,20,15,120,120,%,,15,55,55,%,
,1,180,55,55,%,,,,,,
,20,15,120,120,%,,15,55,55,%,
,1,180,55,55,%,,,,,,
,20,15,120,120,%,,15,55,55,%,
,1,300,55,55,%,,,,,,
,2,360,90,90,%,,200,55,55,%,
