description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
Author: Lucy Gossage,1,480,50,80,%,90,,,,,
,3,25,120,120,%,,30,55,55,%,
,1,120,55,55,%,,,,,,
,1,30,150,150,%,,,,,,
,10,15,120,120,%,,15,80,80,%,
,1,240,55,55,%,,,,,,
,1,30,150,150,%,,,,,,
,8,15,130,130,%,,15,70,70,%,
,1,240,55,55,%,,,,,,
,1,30,150,150,%,,,,,,
,10,15,120,120,%,,15,80,80,%,
,1,240,55,55,%,,,,,,
,1,30,150,150,%,,,,,,
,8,15,130,130,%,,15,70,70,%,
,1,240,55,55,%,,,,,,
,1,30,150,150,%,,,,,,
,8,15,120,120,%,,15,80,80,%,
,1,405,70,50,%,,,,,,
