description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"Warm up 10min followed by4 x 10min efforts @ 98%, 96%, 94% and 92% respectively with 2min recovery.Remaining ride completed as Endurance Free Ride.Cool down 10-20min.",1,60,50,50,%,,,,,,
,1,60,53,53,%,,,,,,
,1,60,56,56,%,,,,,,
,1,60,59,59,%,,,,,,
,1,60,62,62,%,,,,,,
,1,60,64,64,%,,,,,,
,1,60,67,67,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,73,73,%,,,,,,
,1,60,76,76,%,,,,,,
,1,180,55,55,%,,,,,,
,1,600,98,98,%,,,,,,
,1,120,55,55,%,,,,,,
,1,600,97,97,%,,,,,,
,1,120,55,55,%,,,,,,
,1,600,95,95,%,,,,,,
,1,120,55,55,%,,,,,,
,1,600,92,92,%,,,,,,
,1,120,55,55,%,,,,,,
,1,2400,0,0,0,,,,,,
,1,60,76,76,%,,,,,,
,1,60,73,73,%,,,,,,
,1,60,70,70,%,,,,,,
,1,60,67,67,%,,,,,,
,1,60,64,64,%,,,,,,
,1,60,62,62,%,,,,,,
,1,60,59,59,%,,,,,,
,1,60,56,56,%,,,,,,
,1,60,53,53,%,,,,,,
,1,60,50,50,%,,,,,,
