description,number_of_time,time_in_seconds,low_power,high_power,power_unit,cadence,time_in_seconds2,low_power2,high_power2,power_unit2,cadence2
"The aim today is to both work on your anaerobic capacity, and to also improve your aerobic efficiency. Start out completing a series of AC intervals, before finishing with a sustained sweet spot effort. By depleting your carbohydrate stores with the AC intervals, the sweet spot effort may not be as comfortable as it should be!",1,180,50,50,%,,,,,,
,4,10,200,200,%,,50,50,50,%,
,1,180,60,75,%,,,,,,
,1,120,50,50,%,,,,,,
,1,300,90,104,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,150,150,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,143,143,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,136,136,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,129,129,%,,,,,,
,1,180,50,50,%,,,,,,
,1,120,122,122,%,,,,,,
,1,300,50,50,%,,,,,,
,1,600,94,88,%,,,,,,
,1,300,75,45,%,,,,,,
